VIN,planned_date,planned_sequence_in_day,planned_global_sequence,model,color,priority,actual_body_sequence,actual_paint_sequence
VIN0008100,2024-02-29,13,8100,B-SUV,Grey,Normal,8099,8099
VIN0008101,2024-02-29,14,8101,A-Sedan,White,Normal,8100,8100
VIN0008102,2024-02-29,15,8102,A-Sedan,White,Expedite,8101,8101
VIN0008103,2024-02-29,16,8103,A-Sedan,Red,Normal,8102,8102
VIN0008104,2024-02-29,17,8104,A-Sedan,Blue,Normal,8106,8106
VIN0008105,2024-02-29,18,8105,A-Sedan,Blue,Normal,8103,8103
VIN0008106,2024-02-29,19,8106,A-Sedan,Blue,Expedite,8104,8104
VIN0008107,2024-02-29,20,8107,B-SUV,Red,Normal,8105,8105
VIN0008108,2024-02-29,21,8108,B-SUV,Silver,Normal,8107,8107
VIN0008109,2024-02-29,22,8109,C-EV,Black,Normal,8108,8108
VIN0008110,2024-02-29,23,8110,B-SUV,Blue,Normal,8109,8109
VIN0008111,2024-02-29,24,8111,A-Sedan,White,Normal,8110,8110
VIN0008112,2024-02-29,25,8112,A-Sedan,Grey,Normal,8111,8111
VIN0008113,2024-02-29,26,8113,B-SUV,Grey,Normal,8112,8112
VIN0008114,2024-02-29,27,8114,C-EV,Silver,Expedite,8113,8113
VIN0008115,2024-02-29,28,8115,A-Sedan,Blue,Normal,8114,8114
VIN0008116,2024-02-29,29,8116,C-EV,Black,Normal,8116,8116
VIN0008117,2024-02-29,30,8117,A-Sedan,Grey,Normal,8117,8117
VIN0008118,2024-02-29,31,8118,C-EV,Silver,Normal,8118,8118
VIN0008119,2024-02-29,32,8119,B-SUV,Blue,Normal,8119,8119
VIN0008120,2024-02-29,33,8120,A-Sedan,White,Normal,8120,8120
VIN0008121,2024-02-29,34,8121,C-EV,Silver,Normal,8121,8121
VIN0008122,2024-02-29,35,8122,B-SUV,Orange,Normal,8122,8122
VIN0008123,2024-02-29,36,8123,A-Sedan,Red,Normal,8123,8123
VIN0008124,2024-02-29,37,8124,B-SUV,Silver,Normal,8124,8124
VIN0008125,2024-02-29,38,8125,C-EV,White,Normal,8125,8125
VIN0008126,2024-02-29,39,8126,B-SUV,White,Normal,8126,8126
VIN0008127,2024-02-29,40,8127,A-Sedan,Black,Normal,8127,8127
VIN0008128,2024-02-29,41,8128,A-Sedan,Black,Normal,8128,8128
VIN0008129,2024-02-29,42,8129,A-Sedan,Blue,Normal,8129,8129
VIN0008130,2024-02-29,43,8130,A-Sedan,Grey,Normal,8130,8130
VIN0008131,2024-02-29,44,8131,A-Sedan,Red,Normal,8131,8131
VIN0008132,2024-02-29,45,8132,C-EV,Black,Normal,8132,8132
VIN0008133,2024-02-29,46,8133,B-SUV,White,Normal,8137,8137
VIN0008134,2024-02-29,47,8134,B-SUV,Silver,Expedite,8133,8133
VIN0008135,2024-02-29,48,8135,A-Sedan,White,Normal,8134,8134
VIN0008136,2024-02-29,49,8136,B-SUV,White,Normal,8135,8135
VIN0008137,2024-02-29,50,8137,A-Sedan,Green,Normal,8136,8136
VIN0008138,2024-02-29,51,8138,C-EV,White,Normal,8138,8138
VIN0008139,2024-02-29,52,8139,A-Sedan,Black,Normal,8139,8139
VIN0008140,2024-02-29,53,8140,B-SUV,Green,Expedite,8140,8140
VIN0008141,2024-02-29,54,8141,A-Sedan,Silver,Normal,8141,8141
VIN0008142,2024-02-29,55,8142,C-EV,Black,Normal,8142,8142
VIN0008143,2024-02-29,56,8143,A-Sedan,Red,Normal,8143,8143
VIN0008144,2024-02-29,57,8144,B-SUV,Black,Normal,8144,8144
VIN0008145,2024-02-29,58,8145,A-Sedan,Grey,Normal,8145,8145
VIN0008146,2024-02-29,59,8146,A-Sedan,Silver,Normal,8146,8146
VIN0008147,2024-02-29,60,8147,A-Sedan,Black,Normal,8147,8147
VIN0008148,2024-02-29,61,8148,A-Sedan,Grey,Normal,8148,8148
VIN0008149,2024-02-29,62,8149,C-EV,Red,Normal,8149,8149
VIN0008150,2024-02-29,63,8150,A-Sedan,Grey,Normal,8150,8150
VIN0008151,2024-02-29,64,8151,A-Sedan,Blue,Normal,8151,8151
VIN0008152,2024-02-29,65,8152,A-Sedan,Blue,Normal,8152,8152
VIN0008153,2024-02-29,66,8153,C-EV,Silver,Expedite,8153,8153
VIN0008154,2024-02-29,67,8154,A-Sedan,Green,Normal,8154,8154
VIN0008155,2024-02-29,68,8155,A-Sedan,Red,Normal,8155,8155
VIN0008156,2024-02-29,69,8156,A-Sedan,Black,Normal,8156,8156
VIN0008157,2024-02-29,70,8157,A-Sedan,Green,Expedite,8157,8157
VIN0008158,2024-02-29,71,8158,B-SUV,Black,Normal,8158,8158
VIN0008159,2024-02-29,72,8159,B-SUV,Orange,Expedite,8159,8159
VIN0008160,2024-02-29,73,8160,B-SUV,Red,Normal,8160,8160
VIN0008161,2024-02-29,74,8161,C-EV,White,Normal,8161,8161
VIN0008162,2024-02-29,75,8162,C-EV,Grey,Normal,8162,8162
VIN0008163,2024-02-29,76,8163,B-SUV,Black,Normal,8173,8173
VIN0008164,2024-02-29,77,8164,B-SUV,White,Normal,8163,8163
VIN0008165,2024-02-29,78,8165,A-Sedan,White,Normal,8164,8164
VIN0008166,2024-02-29,79,8166,B-SUV,Black,Normal,8165,8165
VIN0008167,2024-02-29,80,8167,A-Sedan,Orange,Normal,8166,8166
VIN0008168,2024-02-29,81,8168,A-Sedan,Green,Normal,8167,8167
VIN0008169,2024-02-29,82,8169,A-Sedan,Red,Normal,8168,8168
VIN0008170,2024-02-29,83,8170,B-SUV,White,Expedite,8169,8169
VIN0008171,2024-02-29,84,8171,B-SUV,Silver,Normal,8170,8170
VIN0008172,2024-02-29,85,8172,B-SUV,Red,Normal,8171,8171
VIN0008173,2024-02-29,86,8173,A-Sedan,Orange,Normal,8172,8172
VIN0008174,2024-02-29,87,8174,A-Sedan,Silver,Normal,8175,8175
VIN0008175,2024-02-29,88,8175,A-Sedan,Green,Normal,8174,8174
VIN0008176,2024-02-29,89,8176,C-EV,Blue,Normal,8176,8176
VIN0008177,2024-02-29,90,8177,B-SUV,Red,Normal,8177,8177
VIN0008178,2024-02-29,91,8178,C-EV,Grey,Normal,8178,8178
VIN0008179,2024-02-29,92,8179,A-Sedan,Blue,Normal,8179,8179
VIN0008180,2024-02-29,93,8180,A-Sedan,Blue,Normal,8180,8180
VIN0008181,2024-02-29,94,8181,B-SUV,Silver,Normal,8181,8181
VIN0008182,2024-02-29,95,8182,B-SUV,Blue,Normal,8182,8182
VIN0008183,2024-02-29,96,8183,A-Sedan,Grey,Normal,8183,8183
VIN0008184,2024-02-29,97,8184,B-SUV,Black,Normal,8184,8184
VIN0008185,2024-02-29,98,8185,C-EV,Black,Normal,8185,8185
VIN0008186,2024-02-29,99,8186,A-Sedan,Black,Normal,8186,8186
VIN0008187,2024-02-29,100,8187,A-Sedan,Blue,Normal,8187,8187
VIN0008188,2024-02-29,101,8188,C-EV,Silver,Normal,8188,8188
VIN0008189,2024-02-29,102,8189,C-EV,Grey,Expedite,8189,8189
VIN0008190,2024-02-29,103,8190,A-Sedan,Red,Normal,8190,8190
VIN0008191,2024-02-29,104,8191,B-SUV,Orange,Normal,8191,8191
VIN0008192,2024-02-29,105,8192,A-Sedan,White,Normal,8192,8192
VIN0008193,2024-02-29,106,8193,C-EV,Silver,Normal,8193,8193
VIN0008194,2024-02-29,107,8194,C-EV,Silver,Normal,8194,8194
VIN0008195,2024-02-29,108,8195,B-SUV,Black,Normal,8195,8195
VIN0008196,2024-02-29,109,8196,A-Sedan,Grey,Normal,8196,8196
VIN0008197,2024-02-29,110,8197,C-EV,Black,Expedite,8197,8197
VIN0008198,2024-02-29,111,8198,C-EV,Grey,Normal,8198,8198
VIN0008199,2024-02-29,112,8199,A-Sedan,Blue,Normal,8199,8199
VIN0008200,2024-02-29,113,8200,B-SUV,Silver,Normal,8200,8200
VIN0008201,2024-02-29,114,8201,A-Sedan,Black,Normal,8201,8201
VIN0008202,2024-02-29,115,8202,A-Sedan,White,Normal,8202,8202
VIN0008203,2024-02-29,116,8203,A-Sedan,Grey,Normal,8203,8203
VIN0008204,2024-02-29,117,8204,A-Sedan,White,Normal,8204,8204
VIN0008205,2024-02-29,118,8205,A-Sedan,Orange,Normal,8205,8205
VIN0008206,2024-02-29,119,8206,A-Sedan,White,Normal,8206,8206
VIN0008207,2024-02-29,120,8207,B-SUV,Red,Normal,8207,8207
VIN0008208,2024-02-29,121,8208,B-SUV,White,Normal,8208,8208
VIN0008209,2024-02-29,122,8209,A-Sedan,Blue,Normal,8209,8209
VIN0008210,2024-02-29,123,8210,A-Sedan,Silver,Expedite,8210,8210
VIN0008211,2024-02-29,124,8211,B-SUV,Grey,Normal,8211,8211
VIN0008212,2024-02-29,125,8212,C-EV,Black,Normal,8212,8212
VIN0008213,2024-02-29,126,8213,B-SUV,Black,Hold,8213,8213
VIN0008214,2024-02-29,127,8214,A-Sedan,Orange,Normal,8214,8214
VIN0008215,2024-02-29,128,8215,A-Sedan,Orange,Normal,8215,8215
VIN0008216,2024-02-29,129,8216,B-SUV,Grey,Normal,8216,8216
VIN0008217,2024-02-29,130,8217,B-SUV,Black,Hold,8217,8217
VIN0008218,2024-02-29,131,8218,A-Sedan,Black,Normal,8218,8218
VIN0008219,2024-02-29,132,8219,A-Sedan,Black,Normal,8219,8219
VIN0008220,2024-02-29,133,8220,A-Sedan,White,Normal,8220,8220
VIN0008221,2024-02-29,134,8221,C-EV,Orange,Normal,8221,8221
VIN0008222,2024-02-29,135,8222,B-SUV,Grey,Normal,8222,8222
VIN0008223,2024-02-29,136,8223,A-Sedan,Silver,Normal,8223,8223
VIN0008224,2024-02-29,137,8224,A-Sedan,Black,Normal,8224,8224
VIN0008225,2024-02-29,138,8225,C-EV,Green,Normal,8225,8225
VIN0008226,2024-02-29,139,8226,B-SUV,White,Expedite,8226,8226
VIN0008227,2024-02-29,140,8227,B-SUV,Silver,Normal,8227,8227
VIN0008228,2024-02-29,141,8228,B-SUV,Black,Normal,8228,8228
VIN0008229,2024-02-29,142,8229,B-SUV,Black,Normal,8229,8229
VIN0008230,2024-02-29,143,8230,A-Sedan,Silver,Normal,8233,8233
VIN0008231,2024-02-29,144,8231,B-SUV,White,Expedite,8230,8230
VIN0008232,2024-02-29,145,8232,C-EV,Grey,Normal,8231,8231
VIN0008233,2024-02-29,146,8233,A-Sedan,Orange,Normal,8232,8232
VIN0008234,2024-02-29,147,8234,C-EV,White,Normal,8234,8234
VIN0008235,2024-02-29,148,8235,A-Sedan,Grey,Normal,8235,8235
VIN0008236,2024-02-29,149,8236,A-Sedan,Blue,Normal,8236,8236
VIN0008237,2024-02-29,150,8237,A-Sedan,Blue,Normal,8237,8237
VIN0008238,2024-02-29,151,8238,A-Sedan,Orange,Normal,8238,8238
VIN0008239,2024-02-29,152,8239,A-Sedan,Silver,Normal,8240,8240
VIN0008240,2024-02-29,153,8240,A-Sedan,Black,Normal,8239,8239
VIN0008241,2024-02-29,154,8241,A-Sedan,Silver,Normal,8241,8241
VIN0008242,2024-02-29,155,8242,B-SUV,Black,Normal,8242,8242
VIN0008243,2024-02-29,156,8243,C-EV,Black,Normal,8243,8243
VIN0008244,2024-02-29,157,8244,B-SUV,Silver,Normal,8244,8244
VIN0008245,2024-02-29,158,8245,B-SUV,Black,Normal,8245,8245
VIN0008246,2024-02-29,159,8246,A-Sedan,Silver,Normal,8246,8246
VIN0008247,2024-02-29,160,8247,B-SUV,Blue,Normal,8247,8247
VIN0008248,2024-02-29,161,8248,B-SUV,Silver,Normal,8248,8248
VIN0008249,2024-02-29,162,8249,A-Sedan,Black,Normal,8249,8249
VIN0008250,2024-02-29,163,8250,A-Sedan,Grey,Expedite,8250,8250
VIN0008251,2024-02-29,164,8251,A-Sedan,Black,Normal,8251,8251
VIN0008252,2024-02-29,165,8252,A-Sedan,Black,Normal,8252,8252
VIN0008253,2024-02-29,166,8253,B-SUV,Blue,Normal,8253,8253
VIN0008254,2024-02-29,167,8254,A-Sedan,Blue,Normal,8254,8254
VIN0008255,2024-02-29,168,8255,A-Sedan,Black,Normal,8255,8255
VIN0008256,2024-02-29,169,8256,C-EV,White,Expedite,8256,8256
VIN0008257,2024-02-29,170,8257,A-Sedan,Orange,Normal,8257,8257
VIN0008258,2024-02-29,171,8258,A-Sedan,White,Normal,8258,8258
VIN0008259,2024-02-29,172,8259,A-Sedan,Silver,Normal,8259,8259
VIN0008260,2024-02-29,173,8260,B-SUV,Silver,Normal,8260,8260
VIN0008261,2024-03-01,1,8261,B-SUV,White,Normal,8261,8261
VIN0008262,2024-03-01,2,8262,A-Sedan,Green,Normal,8262,8262
VIN0008263,2024-03-01,3,8263,A-Sedan,Black,Normal,8263,8263
VIN0008264,2024-03-01,4,8264,C-EV,White,Normal,8264,8264
VIN0008265,2024-03-01,5,8265,C-EV,White,Normal,8265,8265
VIN0008266,2024-03-01,6,8266,C-EV,Black,Normal,8266,8266
VIN0008267,2024-03-01,7,8267,C-EV,White,Normal,8267,8267
VIN0008268,2024-03-01,8,8268,B-SUV,Black,Normal,8268,8268
VIN0008269,2024-03-01,9,8269,A-Sedan,Black,Normal,8269,8269
VIN0008270,2024-03-01,10,8270,A-Sedan,Black,Normal,8270,8270
VIN0008271,2024-03-01,11,8271,A-Sedan,White,Normal,8271,8271
VIN0008272,2024-03-01,12,8272,A-Sedan,Orange,Normal,8272,8272
VIN0008273,2024-03-01,13,8273,A-Sedan,Orange,Expedite,8273,8273
VIN0008274,2024-03-01,14,8274,A-Sedan,Red,Normal,8274,8274
VIN0008275,2024-03-01,15,8275,C-EV,Silver,Normal,8275,8275
VIN0008276,2024-03-01,16,8276,A-Sedan,Orange,Normal,8276,8276
VIN0008277,2024-03-01,17,8277,B-SUV,Orange,Normal,8277,8277
VIN0008278,2024-03-01,18,8278,A-Sedan,Orange,Normal,8278,8278
VIN0008279,2024-03-01,19,8279,A-Sedan,Silver,Normal,8279,8279
VIN0008280,2024-03-01,20,8280,A-Sedan,White,Normal,8280,8280
VIN0008281,2024-03-01,21,8281,C-EV,Black,Normal,8281,8281
VIN0008282,2024-03-01,22,8282,A-Sedan,Orange,Normal,8282,8282
VIN0008283,2024-03-01,23,8283,C-EV,White,Normal,8283,8283
VIN0008284,2024-03-01,24,8284,B-SUV,White,Normal,8284,8284
VIN0008285,2024-03-01,25,8285,C-EV,Silver,Normal,8285,8285
VIN0008286,2024-03-01,26,8286,A-Sedan,Silver,Normal,8286,8286
VIN0008287,2024-03-01,27,8287,A-Sedan,White,Normal,8287,8287
VIN0008288,2024-03-01,28,8288,A-Sedan,Black,Normal,8288,8288
VIN0008289,2024-03-01,29,8289,A-Sedan,White,Hold,8289,8289
VIN0008290,2024-03-01,30,8290,A-Sedan,Green,Normal,8290,8290
VIN0008291,2024-03-01,31,8291,B-SUV,Blue,Normal,8291,8291
VIN0008292,2024-03-01,32,8292,B-SUV,White,Normal,8292,8292
VIN0008293,2024-03-01,33,8293,A-Sedan,Black,Normal,8293,8293
VIN0008294,2024-03-01,34,8294,A-Sedan,Black,Normal,8294,8294
VIN0008295,2024-03-01,35,8295,A-Sedan,Orange,Normal,8295,8295
VIN0008296,2024-03-01,36,8296,B-SUV,Blue,Normal,8296,8296
VIN0008297,2024-03-01,37,8297,C-EV,Silver,Normal,8297,8297
VIN0008298,2024-03-01,38,8298,A-Sedan,White,Normal,8298,8298
VIN0008299,2024-03-01,39,8299,C-EV,Black,Normal,8299,8299
VIN0008300,2024-03-01,40,8300,B-SUV,Grey,Normal,8300,8300
VIN0008301,2024-03-01,41,8301,A-Sedan,White,Normal,8301,8301
VIN0008302,2024-03-01,42,8302,C-EV,Red,Normal,8302,8302
VIN0008303,2024-03-01,43,8303,B-SUV,White,Normal,8303,8303
VIN0008304,2024-03-01,44,8304,A-Sedan,Green,Normal,8304,8304
VIN0008305,2024-03-01,45,8305,B-SUV,Orange,Normal,8305,8305
VIN0008306,2024-03-01,46,8306,A-Sedan,Blue,Normal,8306,8306
VIN0008307,2024-03-01,47,8307,B-SUV,Green,Normal,8307,8307
VIN0008308,2024-03-01,48,8308,A-Sedan,Silver,Normal,8308,8308
VIN0008309,2024-03-01,49,8309,B-SUV,Blue,Normal,8309,8309
VIN0008310,2024-03-01,50,8310,C-EV,Red,Normal,8312,8312
VIN0008311,2024-03-01,51,8311,B-SUV,Grey,Normal,8310,8310
VIN0008312,2024-03-01,52,8312,A-Sedan,Black,Normal,8311,8311
VIN0008313,2024-03-01,53,8313,B-SUV,Blue,Normal,8323,8323
VIN0008314,2024-03-01,54,8314,A-Sedan,White,Normal,8313,8313
VIN0008315,2024-03-01,55,8315,A-Sedan,White,Normal,8314,8314
VIN0008316,2024-03-01,56,8316,B-SUV,Silver,Normal,8315,8315
VIN0008317,2024-03-01,57,8317,A-Sedan,Silver,Normal,8316,8316
VIN0008318,2024-03-01,58,8318,B-SUV,Silver,Normal,8317,8317
VIN0008319,2024-03-01,59,8319,C-EV,Red,Expedite,8318,8318
VIN0008320,2024-03-01,60,8320,C-EV,Black,Normal,8319,8319
VIN0008321,2024-03-01,61,8321,A-Sedan,Orange,Normal,8320,8320
VIN0008322,2024-03-01,62,8322,C-EV,Grey,Normal,8321,8321
VIN0008323,2024-03-01,63,8323,A-Sedan,Blue,Normal,8322,8322
VIN0008324,2024-03-01,64,8324,A-Sedan,Red,Normal,8324,8324
VIN0008325,2024-03-01,65,8325,C-EV,Silver,Normal,8325,8325
VIN0008326,2024-03-01,66,8326,A-Sedan,White,Normal,8326,8326
VIN0008327,2024-03-01,67,8327,A-Sedan,Silver,Normal,8327,8327
VIN0008328,2024-03-01,68,8328,A-Sedan,Grey,Normal,8328,8328
VIN0008329,2024-03-01,69,8329,A-Sedan,White,Normal,8329,8329
VIN0008330,2024-03-01,70,8330,A-Sedan,Red,Normal,8330,8330
VIN0008331,2024-03-01,71,8331,A-Sedan,White,Normal,8331,8331
VIN0008332,2024-03-01,72,8332,A-Sedan,Orange,Normal,8332,8332
VIN0008333,2024-03-01,73,8333,A-Sedan,Red,Normal,8333,8333
VIN0008334,2024-03-01,74,8334,B-SUV,White,Normal,8334,8334
VIN0008335,2024-03-01,75,8335,A-Sedan,Black,Normal,8335,8335
VIN0008336,2024-03-01,76,8336,C-EV,White,Normal,8336,8336
VIN0008337,2024-03-01,77,8337,B-SUV,White,Normal,8337,8337
VIN0008338,2024-03-01,78,8338,B-SUV,Black,Normal,8338,8338
VIN0008339,2024-03-01,79,8339,A-Sedan,Red,Normal,8339,8339
VIN0008340,2024-03-01,80,8340,B-SUV,White,Normal,8340,8340
VIN0008341,2024-03-01,81,8341,A-Sedan,White,Normal,8341,8341
VIN0008342,2024-03-01,82,8342,B-SUV,White,Normal,8342,8342
VIN0008343,2024-03-01,83,8343,B-SUV,Black,Normal,8343,8343
VIN0008344,2024-03-01,84,8344,B-SUV,Grey,Normal,8344,8344
VIN0008345,2024-03-01,85,8345,A-Sedan,Black,Normal,8345,8345
VIN0008346,2024-03-01,86,8346,B-SUV,Blue,Normal,8346,8346
VIN0008347,2024-03-01,87,8347,A-Sedan,White,Normal,8347,8347
VIN0008348,2024-03-01,88,8348,A-Sedan,Green,Normal,8348,8348
VIN0008349,2024-03-01,89,8349,C-EV,White,Normal,8349,8349
VIN0008350,2024-03-01,90,8350,B-SUV,Grey,Normal,8350,8350
VIN0008351,2024-03-01,91,8351,B-SUV,Silver,Normal,8351,8351
VIN0008352,2024-03-01,92,8352,C-EV,White,Normal,8352,8352
VIN0008353,2024-03-01,93,8353,A-Sedan,Silver,Normal,8353,8353
VIN0008354,2024-03-01,94,8354,B-SUV,Silver,Normal,8354,8354
VIN0008355,2024-03-01,95,8355,B-SUV,Silver,Normal,8355,8355
VIN0008356,2024-03-01,96,8356,A-Sedan,White,Normal,8356,8356
VIN0008357,2024-03-01,97,8357,A-Sedan,White,Normal,8357,8357
VIN0008358,2024-03-01,98,8358,C-EV,Orange,Normal,8358,8358
VIN0008359,2024-03-01,99,8359,A-Sedan,Red,Normal,8359,8359
VIN0008360,2024-03-01,100,8360,A-Sedan,Red,Normal,8360,8360
VIN0008361,2024-03-01,101,8361,A-Sedan,Black,Normal,8361,8361
VIN0008362,2024-03-01,102,8362,A-Sedan,White,Normal,8362,8362
VIN0008363,2024-03-01,103,8363,B-SUV,Silver,Expedite,8363,8363
VIN0008364,2024-03-01,104,8364,B-SUV,Red,Normal,8364,8364
VIN0008365,2024-03-01,105,8365,A-Sedan,Grey,Normal,8365,8365
VIN0008366,2024-03-01,106,8366,B-SUV,White,Normal,8366,8366
VIN0008367,2024-03-01,107,8367,B-SUV,Blue,Normal,8367,8367
VIN0008368,2024-03-01,108,8368,A-Sedan,Black,Normal,8368,8368
VIN0008369,2024-03-01,109,8369,A-Sedan,Blue,Normal,8369,8369
VIN0008370,2024-03-01,110,8370,A-Sedan,Blue,Normal,8370,8370
VIN0008371,2024-03-01,111,8371,A-Sedan,White,Normal,8373,8373
VIN0008372,2024-03-01,112,8372,A-Sedan,White,Normal,8371,8371
VIN0008373,2024-03-01,113,8373,B-SUV,White,Normal,8372,8372
VIN0008374,2024-03-01,114,8374,B-SUV,Orange,Normal,8374,8374
VIN0008375,2024-03-01,115,8375,A-Sedan,Grey,Normal,8375,8375
VIN0008376,2024-03-01,116,8376,B-SUV,White,Normal,8376,8376
VIN0008377,2024-03-01,117,8377,B-SUV,Silver,Normal,8377,8377
VIN0008378,2024-03-01,118,8378,B-SUV,Grey,Normal,8378,8378
VIN0008379,2024-03-01,119,8379,B-SUV,Black,Normal,8379,8379
VIN0008380,2024-03-01,120,8380,B-SUV,Silver,Normal,8380,8380
VIN0008381,2024-03-01,121,8381,A-Sedan,Silver,Normal,8381,8381
VIN0008382,2024-03-01,122,8382,A-Sedan,Blue,Normal,8382,8382
VIN0008383,2024-03-01,123,8383,A-Sedan,Red,Normal,8383,8383
VIN0008384,2024-03-01,124,8384,A-Sedan,Black,Normal,8384,8384
VIN0008385,2024-03-01,125,8385,C-EV,Green,Normal,8385,8385
VIN0008386,2024-03-01,126,8386,B-SUV,White,Normal,8386,8386
VIN0008387,2024-03-01,127,8387,B-SUV,Black,Normal,8387,8387
VIN0008388,2024-03-01,128,8388,A-Sedan,Black,Normal,8388,8388
VIN0008389,2024-03-01,129,8389,A-Sedan,Green,Normal,8389,8389
VIN0008390,2024-03-01,130,8390,A-Sedan,Red,Normal,8390,8390
VIN0008391,2024-03-01,131,8391,B-SUV,Silver,Normal,8391,8391
VIN0008392,2024-03-01,132,8392,A-Sedan,Grey,Normal,8392,8392
VIN0008393,2024-03-01,133,8393,A-Sedan,White,Normal,8393,8393
VIN0008394,2024-03-01,134,8394,B-SUV,Black,Expedite,8394,8394
VIN0008395,2024-03-01,135,8395,B-SUV,Black,Normal,8395,8395
VIN0008396,2024-03-01,136,8396,A-Sedan,Red,Normal,8396,8396
VIN0008397,2024-03-01,137,8397,A-Sedan,Silver,Normal,8397,8397
VIN0008398,2024-03-01,138,8398,C-EV,Blue,Expedite,8398,8398
VIN0008399,2024-03-01,139,8399,A-Sedan,Grey,Normal,8399,8399
VIN0008400,2024-03-01,140,8400,B-SUV,White,Normal,8400,8400
VIN0008401,2024-03-01,141,8401,B-SUV,Blue,Normal,8401,8401
VIN0008402,2024-03-01,142,8402,B-SUV,Black,Normal,8402,8402
VIN0008403,2024-03-01,143,8403,A-Sedan,Red,Normal,8414,8414
VIN0008404,2024-03-01,144,8404,A-Sedan,Silver,Normal,8403,8403
VIN0008405,2024-03-01,145,8405,C-EV,White,Normal,8404,8404
VIN0008406,2024-03-01,146,8406,C-EV,Black,Normal,8405,8405
VIN0008407,2024-03-01,147,8407,A-Sedan,Blue,Normal,8406,8406
VIN0008408,2024-03-01,148,8408,A-Sedan,Black,Normal,8407,8407
VIN0008409,2024-03-01,149,8409,B-SUV,White,Normal,8408,8408
VIN0008410,2024-03-01,150,8410,C-EV,Blue,Normal,8409,8409
VIN0008411,2024-03-01,151,8411,C-EV,White,Normal,8410,8410
VIN0008412,2024-03-01,152,8412,A-Sedan,Black,Normal,8411,8411
VIN0008413,2024-03-01,153,8413,B-SUV,Grey,Normal,8412,8412
VIN0008414,2024-03-01,154,8414,A-Sedan,Grey,Normal,8413,8413
VIN0008415,2024-03-01,155,8415,A-Sedan,Red,Normal,8415,8415
VIN0008416,2024-03-01,156,8416,A-Sedan,Red,Normal,8416,8416
VIN0008417,2024-03-01,157,8417,B-SUV,Green,Normal,8417,8417
VIN0008418,2024-03-01,158,8418,B-SUV,Silver,Normal,8418,8418
VIN0008419,2024-03-01,159,8419,A-Sedan,White,Normal,8419,8419
VIN0008420,2024-03-01,160,8420,B-SUV,Red,Normal,8420,8420
VIN0008421,2024-03-01,161,8421,B-SUV,Grey,Normal,8421,8421
VIN0008422,2024-03-01,162,8422,B-SUV,Black,Normal,8422,8422
VIN0008423,2024-03-01,163,8423,A-Sedan,White,Normal,8423,8423
VIN0008424,2024-03-01,164,8424,B-SUV,Black,Normal,8424,8424
VIN0008425,2024-03-01,165,8425,B-SUV,Silver,Normal,8425,8425
VIN0008426,2024-03-01,166,8426,A-Sedan,Blue,Normal,8426,8426
VIN0008427,2024-03-01,167,8427,A-Sedan,Black,Normal,8427,8427
VIN0008428,2024-03-01,168,8428,B-SUV,White,Normal,8428,8428
VIN0008429,2024-03-01,169,8429,A-Sedan,Red,Normal,8429,8429
VIN0008430,2024-03-01,170,8430,B-SUV,Grey,Normal,8430,8430
VIN0008431,2024-03-01,171,8431,A-Sedan,Black,Normal,8431,8431
VIN0008432,2024-03-01,172,8432,A-Sedan,Silver,Normal,8432,8432
VIN0008433,2024-03-02,1,8433,A-Sedan,Red,Normal,8433,8433
VIN0008434,2024-03-02,2,8434,B-SUV,Black,Normal,8434,8434
VIN0008435,2024-03-02,3,8435,B-SUV,White,Normal,8435,8435
VIN0008436,2024-03-02,4,8436,C-EV,Red,Normal,8436,8436
VIN0008437,2024-03-02,5,8437,A-Sedan,Grey,Normal,8437,8437
VIN0008438,2024-03-02,6,8438,B-SUV,Grey,Normal,8438,8438
VIN0008439,2024-03-02,7,8439,A-Sedan,Red,Normal,8439,8439
VIN0008440,2024-03-02,8,8440,C-EV,Grey,Normal,8440,8440
VIN0008441,2024-03-02,9,8441,B-SUV,Green,Normal,8441,8441
VIN0008442,2024-03-02,10,8442,C-EV,Black,Normal,8442,8442
VIN0008443,2024-03-02,11,8443,A-Sedan,Blue,Normal,8443,8443
VIN0008444,2024-03-02,12,8444,A-Sedan,Silver,Normal,8444,8444
VIN0008445,2024-03-02,13,8445,A-Sedan,Blue,Normal,8445,8445
VIN0008446,2024-03-02,14,8446,B-SUV,Silver,Normal,8446,8446
VIN0008447,2024-03-02,15,8447,A-Sedan,Grey,Normal,8447,8447
VIN0008448,2024-03-02,16,8448,A-Sedan,Grey,Normal,8448,8448
VIN0008449,2024-03-02,17,8449,A-Sedan,Grey,Normal,8449,8449
VIN0008450,2024-03-02,18,8450,B-SUV,Red,Normal,8450,8450
VIN0008451,2024-03-02,19,8451,C-EV,White,Normal,8451,8451
VIN0008452,2024-03-02,20,8452,B-SUV,Silver,Normal,8452,8452
VIN0008453,2024-03-02,21,8453,B-SUV,Black,Normal,8453,8453
VIN0008454,2024-03-02,22,8454,A-Sedan,Green,Normal,8454,8454
VIN0008455,2024-03-02,23,8455,B-SUV,Blue,Normal,8455,8455
VIN0008456,2024-03-02,24,8456,C-EV,Blue,Normal,8456,8456
VIN0008457,2024-03-02,25,8457,C-EV,Black,Normal,8457,8457
VIN0008458,2024-03-02,26,8458,C-EV,Blue,Expedite,8458,8458
VIN0008459,2024-03-02,27,8459,B-SUV,Silver,Normal,8459,8459
